Text,Expect
hi,FALSE
his,FALSE
hiss,TRUE
hisss,TRUE
hissss,TRUE
hisssss,TRUE
hissssss,TRUE
hisssssss,TRUE
hissssssss,TRUE
hisssssssss,TRUE
hissssssssss,TRUE
hisssssssssss,TRUE
hissssssssssss,TRUE
hisssssssssssss,TRUE
hissssssssssssss,TRUE
hisssssssssssssss,TRUE
hissssssssssssssss,TRUE
hisssssssssssssssss,TRUE
hissssssssssssssssss,TRUE
hisssssssssssssssssss,TRUE
hissssssssssssssssssss,TRUE
hisssssssssssssssssssss,TRUE
hissssssssssssssssssssss,TRUE
hisssssssssssssssssssssss,TRUE
hissssssssssssssssssssssss,TRUE
hisssssssssssssssssssssssss,TRUE
hissssssssssssssssssssssssss,TRUE
hisssssssssssssssssssssssssss,TRUE
hissssssssssssssssssssssssssss,TRUE
